country,food_name,description,url
Argentina,Corned Chicken,Per 1 serving - Calories: 60kcal | Fat: 3.00g | Carbs: 3.00g | Protein: 6.00g,https://foods.fatsecret.com/calories-nutrition/argentina/corned-chicken
Armenia,Armenian Grecian Italian Bread,Per 100g - Calories: 271kcal | Fat: 3.50g | Carbs: 50.00g | Protein: 8.80g,https://foods.fatsecret.com/calories-nutrition/generic/bread-italian-grecian-armenian
Armenia,Toasted Armenian Grecian Italian Bread,Per 100g - Calories: 298kcal | Fat: 3.85g | Carbs: 54.94g | Protein: 9.67g,https://foods.fatsecret.com/calories-nutrition/generic/bread-italian-grecian-armenian-toasted
Armenia,Armenian Cucumbers,Per 1/3 medium - Calories: 15kcal | Fat: 0.00g | Carbs: 3.00g | Protein: 1.00g,https://foods.fatsecret.com/calories-nutrition/melissas/armenian-cucumbers
Armenia,Armenian String Cheese,Per 1 oz - Calories: 80kcal | Fat: 6.00g | Carbs: 0.00g | Protein: 7.00g,https://foods.fatsecret.com/calories-nutrition/sun-ni/armenian-string-cheese
Armenia,Armenian String Cheese,Per 1 oz - Calories: 90kcal | Fat: 6.00g | Carbs: 0.28g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/gharibian-farm/armenian-string-cheese
Armenia,Gata Armenian Sweet Bread,Per 1 inch slice - Calories: 240kcal | Fat: 9.00g | Carbs: 36.00g | Protein: 5.00g,https://foods.fatsecret.com/calories-nutrition/eurobake/gata-armenian-sweet-bread
Armenia,White Bread,Per 2 slices - Calories: 153kcal | Fat: 1.00g | Carbs: 31.00g | Protein: 5.00g,https://foods.fatsecret.com/calories-nutrition/gardenia/white-bread
Armenia,Wheat Bread,Per 2 slices - Calories: 182kcal | Fat: 2.00g | Carbs: 33.00g | Protein: 8.00g,https://foods.fatsecret.com/calories-nutrition/gardenia/wheat-bread
Armenia,Black Forest,Per 2 slices - Calories: 240kcal | Fat: 4.00g | Carbs: 29.00g | Protein: 22.00g,https://foods.fatsecret.com/calories-nutrition/gardenia/black-forest
Australia,Australian Lamb Fat,Per 100g - Calories: 648kcal | Fat: 68.87g | Carbs: 0.00g | Protein: 6.27g,https://foods.fatsecret.com/calories-nutrition/usda/australian-lamb-fat
Australia,"Australian Lamb (Trimmed to 1/8"" Fat)",Per 100g - Calories: 229kcal | Fat: 16.97g | Carbs: 0.00g | Protein: 17.84g,https://foods.fatsecret.com/calories-nutrition/usda/australian-lamb-(trimmed-to-1-8-fat)
